category,group,slug,match_id,title,description,analysis_profile
Keyboard controls - natural end,natural-end,01-do-nothing,67af0744-0b22-4791-b758-8e6870c1b799,Idle,Do nothing; same empty-floor Forge setup; one-minute natural end,controlled
Keyboard controls - natural end,natural-end,02-jump,dad793c7-0894-49c7-91ed-75c2c1074dad,Jump,Jump at 10 seconds; same empty-floor Forge setup; one-minute natural end,controlled
Keyboard controls - natural end,natural-end,03-shoot,4bbd8263-ac1f-4399-b1da-42e47f304447,Single shot,Shoot once at 10 seconds; same empty-floor Forge setup; one-minute natural end,controlled
Keyboard controls - natural end,natural-end,04-walk-forward,3d8fb39d-7492-4cbd-8cd0-bd7d84db946b,Walk forward,Walk forward for 5 seconds at 10 seconds; same empty-floor Forge setup; one-minute natural end,controlled
Keyboard controls - natural end,natural-end,05-walk-backward,ce985770-c3dc-4e21-806e-368b9245a679,Walk backward,Walk backwards for 5 seconds at 10 seconds; same empty-floor Forge setup; one-minute natural end,controlled
Keyboard controls - natural end,natural-end,06-walk-left,9e3114a9-483c-4e39-aae2-1eb9ec6fc622,Walk left,Walk left for 5 seconds at 10 seconds; same empty-floor Forge setup; one-minute natural end,controlled
Keyboard controls - natural end,natural-end,07-walk-right,5e5a036c-9556-4d75-b7be-30513ab61755,Walk right,Walk right for 5 seconds at 10 seconds; same empty-floor Forge setup; one-minute natural end,controlled
Keyboard controls - natural end,natural-end,08-crouch,d6418abd-6bf0-4231-830a-d85a510e32cb,Crouch,Crouch at 10 seconds and remain crouched 1 second; same empty-floor Forge setup; one-minute natural end,controlled
Keyboard controls - natural end,natural-end,09-grenade,6fcc2ec6-fa2d-4d55-91a2-09c7c683e85f,Grenade throw,Throw a grenade; same empty-floor Forge setup; one-minute natural end,controlled
Keyboard controls - natural end,natural-end,10-switch-weapon,11887bef-8589-4e69-8674-ff4d897e5682,Switch weapons,Switch weapons; same empty-floor Forge setup; one-minute natural end,controlled
Keyboard controls - natural end,natural-end,11-switch-grenade,b700552a-ab79-4e45-8066-2a6cc3a9cd6a,Switch grenades,Switch grenades; same empty-floor Forge setup; one-minute natural end,controlled
Keyboard controls - natural end,natural-end,12-ping,17577906-4c33-405f-bab6-5110caabb2ef,Ping,Ping; same empty-floor Forge setup; one-minute natural end,controlled
Keyboard controls - natural end,natural-end,13-melee,673b9d17-d010-408a-a435-ea26357db98f,Melee,Melee; same empty-floor Forge setup; one-minute natural end,controlled
Controller movement,controller,01-stick-circles,df0fadd0-5d20-4f4a-ae99-e1f62656c502,Stick circles,Left stick circles with varying tilt and stationary camera from 0:55 to 0:30 remaining; one-minute natural end,controlled
Aiming controls,aim,01-pitch-up,128deecd-95ba-4887-9d50-660710358c77,Aim up,Slowly aim upward from 0:55 to 0:45 remaining; reaches maximum upward pitch at 0:45; one-minute natural end,controlled
Aiming controls,aim,02-yaw-right,a7861b2f-9435-47d6-924e-4f3bd9555b50,Turn right,Turn right with acceleration from 0:55 to 0:45 remaining; completes many full circles; one-minute natural end,controlled
Weapon controls,weapons,01-switch-bandit-pistol,83fc43ff-e8d3-4d9d-b747-14c4ffee5a69,Bandit EVO → Pistol,Switch from Bandit EVO to Pistol at 0:50 remaining (10 seconds into gameplay); one-minute controlled game,controlled
Weapon controls,weapons,02-reload-comparison,4050c25f-3da5-4b16-9a50-2fab9660fed4,Manual & auto reload,At 0:55 remaining shoot Bandit three times; at 0:50 manually reload; at 0:45 switch to pistol; at 0:40 fire pistol until empty and automatic reload; one-minute controlled game,controlled
Weapon controls,weapons,03-br-sniper-zoom,0131715c-568e-49d8-af6a-90e63c5c8156,BR & S7 scope,At 0:55 remaining scope in with BR; at 0:50 scope out; at 0:46/47 switch to S7 sniper; at 0:45 scope in; at 0:40 scope in again to second zoom level; at 0:35 scope out; one-minute controlled game,controlled
Weapon controls,weapons,04-br-shock-rifle,731ef1f7-a119-49ca-a056-4b8305aaf7c6,BR75 & Shock Rifle,BR75 primary and Shock Rifle secondary; switch from BR75 to Shock Rifle at 0:20 remaining and back to BR75 at 0:10 remaining (reported by recorder),decoded
